deltaH: 0.175781
Omega_M  Omega_Lambda   Likelihood
0.006250 0.075000 0.998298 
0.006250 0.079687 0.998241 
0.006250 0.084375 0.998184 
0.006250 0.089063 0.998126 
0.006250 0.093750 0.998067 
0.006250 0.098437 0.998007 
0.006250 0.103125 0.997946 
0.006250 0.107812 0.997884 
0.006250 0.112500 0.997821 
0.006250 0.117188 0.997757 
0.006250 0.121875 0.997692 
0.006250 0.126562 0.997627 
0.006250 0.131250 0.997560 
0.006250 0.135937 0.997492 
0.006250 0.140625 0.997423 
0.006250 0.145312 0.997353 
0.006250 0.150000 0.997283 
0.006250 0.154688 0.997211 
0.006250 0.159375 0.997138 
0.006250 0.164062 0.997064 
0.006250 0.168750 0.996989 
0.006250 0.173437 0.996913 
0.006250 0.178125 0.996836 
0.006250 0.182812 0.996759 
0.006250 0.187500 0.996680 
0.006250 0.192187 0.996600 
0.006250 0.196875 0.996518 
0.006250 0.201563 0.996436 
0.006250 0.206250 0.996353 
0.006250 0.210938 0.996269 
0.006250 0.215625 0.996184 
0.006250 0.220312 0.996097 
0.006250 0.225000 0.996010 
0.006250 0.229687 0.995921 
0.006250 0.234375 0.995832 
0.006250 0.239062 0.995741 
0.006250 0.243750 0.995649 
0.006250 0.248437 0.995556 
0.006250 0.253125 0.995462 
0.006250 0.257812 0.995367 
0.006250 0.262500 0.995270 
0.006250 0.267187 0.995173 
0.006250 0.271875 0.995075 
0.006250 0.276562 0.994975 
0.006250 0.281250 0.994874 
0.006250 0.285938 0.994772 
0.006250 0.290625 0.994669 
0.006250 0.295312 0.994565 
0.006250 0.300000 0.994459 
0.006250 0.304688 0.994353 
0.006250 0.309375 0.994245 
0.006250 0.314062 0.994136 
0.006250 0.318750 0.994026 
0.006250 0.323437 0.993914 
0.006250 0.328125 0.993802 
0.006250 0.332813 0.993688 
0.006250 0.337500 0.993573 
0.006250 0.342187 0.993457 
0.006250 0.346875 0.993339 
0.006250 0.351562 0.993221 
0.006250 0.356250 0.993101 
0.006250 0.360937 0.992980 
0.006250 0.365625 0.992857 
0.006250 0.370312 0.992734 
0.006250 0.375000 0.992609 
0.006250 0.379688 0.992483 
0.006250 0.384375 0.992355 
0.006250 0.389062 0.992226 
0.006250 0.393750 0.992096 
0.006250 0.398438 0.991965 
0.006250 0.403125 0.991833 
0.006250 0.407812 0.991699 
0.006250 0.412500 0.991564 
0.006250 0.417187 0.991427 
0.006250 0.421875 0.991289 
0.006250 0.426563 0.991150 
0.006250 0.431250 0.991010 
0.006250 0.435937 0.990868 
0.006250 0.440625 0.990724 
0.006250 0.445312 0.990580 
0.006250 0.450000 0.990434 
0.006250 0.454687 0.990287 
0.006250 0.459375 0.990138 
0.006250 0.464062 0.989988 
0.006250 0.468750 0.989836 
0.006250 0.473437 0.989684 
0.006250 0.478125 0.989529 
0.006250 0.482812 0.989374 
0.006250 0.487500 0.989217 
0.006250 0.492188 0.989058 
0.006250 0.496875 0.988898 
0.006250 0.501563 0.988737 
0.006250 0.506250 0.988574 
0.006250 0.510937 0.988409 
0.006250 0.515625 0.988244 
0.006250 0.520312 0.988076 
0.006250 0.525000 0.987908 
0.006250 0.529687 0.987737 
0.006250 0.534375 0.987566 
0.006250 0.539062 0.987392 
0.006250 0.543750 0.987217 
0.006250 0.548438 0.987041 
0.006250 0.553125 0.986863 
0.006250 0.557812 0.986684 
0.006250 0.562500 0.986503 
0.006250 0.567187 0.986321 
0.006250 0.571875 0.986137 
0.006250 0.576562 0.985951 
0.006250 0.581250 0.985764 
0.006250 0.585938 0.985575 
0.006250 0.590625 0.985384 
